genre|simCount|avgDuration|avgHotttnesss
los angeles|84|21.920458928571424|0.1403687227804822
lovers rock|538|22.108245185873646|0.35063022697068175
california|6|24.03811333333333|0.43801007822373966
ghetto tech|50|21.622353399999998|0.2395437221926087
orchestra|53|22.76709132075472|0.3453820713741697
acid jazz|19|20.366904736842105|0.34122076968437115
trance|26|37.77750846153845|0.26624745935718247
stoner metal|20|19.69751|0.5001934957669014
ranchera|7|15.62505|0.30546864991576067
funny|7|26.444464285714293|0.04903438084848782
eurodance|25|31.2615028|0.36319619679032145
pop rap|82|25.303294268292685|0.43520182670519786
new wave|118|22.04058203389831|0.41002095382840975
mexico|29|22.848438620689663|0.12090997390992003
folktronica|2|21.169755000000006|0.44822358922684985
fusion|21|22.530782857142857|0.30584974433575307
pop punk|17|20.179246470588232|0.42248211124663054
rock|153|22.70373418300653|0.5543756414869803
merseybeat|1|18.7172|0.8404626880271164
emo|25|22.58799519999999|0.44586255121696133
arabesque|37|21.90136918918919|0.4109912905396671
indie|4|19.329944999999995|0.5341109289192036
flamenco|157|21.170411847133753|0.3399223925800669
progressive house|109|29.49042036697248|0.34018648638442106
death core|12|25.165073333333336|0.3910306380913546
karaoke|2|18.639475|0.4408350067130934
brazilian jazz|119|22.317202857142856|0.36207271268418517
power electronics|1|13.687300000000004|0.34506346668808957
louisiana blues|23|20.554606521739128|0.38869015311178
peace punk|5|24.96878|0.4153537105953772
math rock|1|22.56471|0.36278294075354944
reggaeton|40|18.904205250000004|0.40954696876744023
electronica|43|23.322681395348845|0.48650699673995035
jangle pop|12|25.548885|0.5472126272222222
close harmony|1|8.4225|0.39134245187534317
industrial metal|6|24.97295|0.41838419263691606
electropop|2|26.478840000000005|0.3577167410453206
hardstyle|33|26.937044242424243|0.22433158304870954
piano blues|75|20.759200266666674|0.326048763008628
tech house|102|26.069410588235296|0.3267000767999891
maracatu|2|16.93544|0.19232490928343499
exotica|7|15.332395714285713|0.25753213935459224
opera|149|21.51889026845637|0.36191197714076995
urban folk|5|21.666097999999998|0.5291959222813954
funk|47|25.756325531914893|0.45211658607481114
shock rock|15|20.711322666666664|0.5768659837869724
western swing|139|20.976263741007198|0.33206231492623733
