decade|simCount|avgDuration|avgHotttnesss
1950|38|20.200942105263156|0.37039264672654315
2010|38|22.733002631578948|0.4705923242755822
1960|126|21.43419658730159|0.40842082526109563
2000|2274|22.39320522427436|0.4310508580093562
1920|13|21.798786153846155|0.3834404896635114
1970|411|21.94350272506083|0.4046322030458341
1990|1664|23.47657049278844|0.40339304325702935
1980|620|22.924222903225807|0.44201772203462025
1940|13|14.049736923076924|0.4244875987254027
1930|21|17.24313238095238|0.3648517528518332
