artistName|trackName|year|artistLocation|songHotttnesss|genre1|genre2|genre3|sectionATime|sectionALength|sectionBTime|sectionBLength|pitchSim|timbreSim|pitchCountSim|timbreCountSim|loudnessMaxSim|loudnessMaxTimeSim|loudnessStartSim
The Box Tops|Soul Deep|1969|Memphis, TN|0.4174996449709784|blue-eyed soul|||19s-38s|19.311109999999996|50s-1m10s|19.311109999999996|0.7055871132981913|0.3241946665994271|0.9921597797511871|0.9979073599904491|0.9505720645419213|0.8528977758429743|0.9609732676711117
Sonora Santanera|Amor De Cabaret|0||0.34342837829688244|salsa|cumbia|tejano|1m8s-1m38s|30.256739999999994|2m11s-2m49s|30.256739999999994|0.6126432807461318|0.7394064419475623|0.9979817765615484|0.9988077484940231|0.9425467409499226|0.5874658967507103|0.9006621381395529
Adam Ant|Something Girls|1982|London, England|0.4542311565706205|pop rock|new wave||27s-55s|27.175110000000004|1m7s-1m38s|27.175110000000004|0.6555972392054815|0.47945055384728674|0.9916089058400303|0.9988276837424916|0.9467737236617626|0.600072018195013|0.9470292188961188
Adam Ant|Something Girls|1982|London, England|0.4542311565706205|pop rock|new wave||27s-55s|27.175110000000004|2m5s-2m32s|27.175110000000004|0.7719565346328036|0.7017120418868747|0.9934048259654351|0.999205250620156|0.9690189139539026|0.8057100177992291|0.9851501432606065
Adam Ant|Something Girls|1982|London, England|0.4542311565706205|pop rock|new wave||1m7s-1m38s|31.1794|2m5s-2m32s|31.1794|0.6518770266311141|0.4525214210507246|0.994703238464922|0.9992063314453855|0.9461072256696225|0.6601704044727658|0.952784177047085
Adam Ant|Something Girls|1982|London, England|0.4542311565706205|pop rock|new wave||1m7s-1m38s|31.1794|3m8s-3m45s|31.1794|0.6479823147309582|0.5330689172898093|0.9910176553326483|0.999245967185233|0.9479915922186617|0.6330152693100572|0.9599367346680043
Tweeterfriendly Music|Drop of Rain|0|Burlington, Ontario, Canada|0.6055071356905752|post-hardcore|screamo|emo|40s-57s|16.64797|1m59s-2m19s|16.64797|0.5594222942754565|0.6096653672733008|0.9917312652385524|0.9959933679009152|0.9186122475104809|0.6293401541511798|0.9635549561538058
Tweeterfriendly Music|Drop of Rain|0|Burlington, Ontario, Canada|0.6055071356905752|post-hardcore|screamo|emo|1m12s-1m30s|18.860739999999993|1m59s-2m19s|18.860739999999993|0.4066674251300983|0.6738743178723006|0.9964447930577637|0.9975318213240226|0.9190038106371872|0.6353666625279857|0.9727544608841351
Clp|Insatiable (Instrumental Version)|0||0.42270564102939107|breakcore|||1m0s-1m17s|17.36622|2m7s-2m24s|17.36622|0.6655232832664338|0.651915225757897|0.995002344878215|0.9990960473094209|0.8459506229647991|0.8644224374304013|0.9441473252938792
JennyAnyKind|Young Boy Blues|0|North Carolina|0.29626895431146333|alternative rock|indie rock|rock|8s-38s|30.29088|1m36s-2m11s|30.29088|0.5620958103008395|0.8847074011244374|0.9989361736523376|0.9973172479333414|0.9582870091645406|0.6532403845552844|0.9777919308691081
JennyAnyKind|Young Boy Blues|0|North Carolina|0.29626895431146333|alternative rock|indie rock|rock|38s-1m3s|25.385109999999997|2m40s-3m1s|25.385109999999997|0.5296446855941138|0.6981021206011835|0.995971208387096|0.9948822183997875|0.9665140926219813|0.7569515973721516|0.9814609063747434
Andy Andy|La Culpa|0||0.3794821702804675|bachata|||8s-23s|15.693019999999999|3m24s-3m39s|15.693019999999999|0.6330072346721849|0.5412383282371193|0.995958681999324|0.9983158169254603|0.9346394782789773|0.8573120153645024|0.9617331500172664
Andy Andy|La Culpa|0||0.3794821702804675|bachata|||41s-1m6s|24.459759999999996|2m27s-2m47s|24.459759999999996|0.6683987707040991|0.34608116599686245|0.9911723292806406|0.997159148666495|0.9546136938563053|0.8258602429923816|0.9384111563578802
Lionel Richie|Tonight Will Be Alright|1986|Beverly Hills, CA|0.5530719914619753|quiet storm|soft rock||16s-32s|15.839759999999998|1m14s-1m33s|15.839759999999998|0.5201002335147611|0.7074351482766674|0.9952799422321519|0.9989410271420432|0.945144683042135|0.7940223578440625|0.9731903727735547
Lionel Richie|Tonight Will Be Alright|1986|Beverly Hills, CA|0.5530719914619753|quiet storm|soft rock||16s-32s|15.839759999999998|3m47s-4m2s|15.839759999999998|0.7055186004035443|0.7888334144422947|0.9912138076116773|0.9974496924821742|0.9330886651796596|0.7191581463032903|0.9660653211283469
Lionel Richie|Tonight Will Be Alright|1986|Beverly Hills, CA|0.5530719914619753|quiet storm|soft rock||1m33s-2m4s|30.69914|3m16s-3m47s|30.69914|0.7501685956432204|0.9013506999424278|0.9939148723463979|0.9991052903209376|0.9710078229572928|0.6127180291775801|0.9796961414410286
Lionel Richie|Tonight Will Be Alright|1986|Beverly Hills, CA|0.5530719914619753|quiet storm|soft rock||2m4s-2m39s|35.012|3m16s-3m47s|35.012|0.5796758484306207|0.7766878891324062|0.9967280673338664|0.9996446840854281|0.9576725355993272|0.6075104630822286|0.966323045236707
