duration|simCount|avgHotttnesss
69|5|0.3830360875786142
88|3|0.3372837010408965
5|1|0.25749632817123713
10|346|0.3605364001117447
56|12|0.3428396155355258
42|53|0.36216549460758396
24|490|0.3609112101531974
37|113|0.3483228348419517
25|482|0.33947155728541006
52|20|0.42847347610572506
14|655|0.33880360627228506
110|2|0.31428835093162527
20|684|0.35155152249719374
46|44|0.3474154864632746
57|13|0.3280333437299989
78|2|0.5671521676783786
29|315|0.3443036285800099
61|9|0.33313404674299646
89|1|0.0
133|1|0.49866887479608674
74|6|0.379917814592204
6|8|0.35722156720027914
60|6|0.5336849433058336
85|1|0.511526435078575
28|316|0.34030002643718543
38|82|0.4064173913498432
70|1|0.4753930634423814
21|635|0.33957567236994324
137|1|0.3861804160792181
33|163|0.3579074415733166
92|1|0.3801544645883343
65|5|0.40627996143970196
9|252|0.37016111850954087
53|23|0.4131241603493887
77|1|0.5204121100542216
96|1|0.41165096106378257
13|582|0.34796572449637164
41|42|0.3140324661043508
73|2|0.3506927632302449
32|210|0.33041716938939575
34|150|0.353197895743639
45|53|0.3374127473927149
64|7|0.3916801216675655
17|701|0.34696644858177905
22|612|0.3610637350913164
44|54|0.3488728179163752
59|6|0.18434039400419724
27|334|0.34352667702721046
71|2|0.18108107950076865
12|594|0.3599020034703483
54|18|0.3402894241519875
49|30|0.42437538668720143
76|2|0.37989794115185815
7|97|0.34770892860096597
39|79|0.36118097756595974
98|2|0.33504177703727017
103|1|0.0
66|9|0.2451230563344216
108|1|0.2559413156234322
80|1|0.49866887479608674
35|118|0.352629413319729
112|1|0.4107968133205566
48|32|0.4373126699938481
63|9|0.3098645538607775
18|775|0.341063422813127
50|22|0.39189231971136745
67|3|0.4048978812175858
16|754|0.34963438519602613
127|1|0.3957935459099355
31|229|0.34552891884774883
11|611|0.35198115171609656
72|3|0.31351817861341885
43|76|0.3819013408877068
99|2|0.29353492482598037
87|1|0.34647340870376364
40|69|0.34975736620947834
26|392|0.351077250847251
55|25|0.37522808807066466
23|534|0.3433541195999977
8|187|0.32248707811920246
75|9|0.44918989696216616
58|12|0.36063493040458083
82|1|0.0
36|127|0.35704685777112233
30|259|0.35881274090247484
51|21|0.4098402892078505
19|711|0.3465134151595012
107|1|0.18767630092926466
79|4|0.4225496688025541
94|1|0.3366681961700302
47|31|0.3873890222058087
15|692|0.3486244237447226
68|5|0.32720784206394105
62|3|0.429068660807447
90|1|0.45164840732197026
111|1|0.2045627112619994
83|1|0.3490378943527972
100|1|0.3801544645883343
