location|simCount|avgDuration|avgHotttnesss
POLAND|1|32.547650000000004|0.5504228248591988
Springfield, MO|4|24.47765|0.28356259598084455
New Mexico|12|22.849150000000005|0.528614974324017
Santa Rosa, California|1|18.296300000000002|0.37668863102209926
Knobel, AK|1|11.159559999999999|0.37123757358135073
Barranquilla, Colombia|13|24.63779615384615|0.7346008661695349
Mï¿½engladbach, Germany|7|29.461639999999996|0.35590562978140255
East Flatbush, Brooklyn, NY|23|20.636801304347827|0.5396443124242586
Stockholm, Sweden|2|18.768810000000002|0.484124713373839
YAHD!|2|51.997405|0.4343463055601184
L.E.|2|15.763069999999995|0.3532566792643859
Santiago de los Caballeros, Domin|3|31.31833333333333|0.34154441251964296
Dayton, Ohio|1|31.47210000000001|0.3670667055472891
Hermosa Beach, CA|5|22.002898|0.5122291893908338
Columbus, GA|5|26.046762|0.3855675231595563
Encino, CA|5|20.425156|0.40981841145610814
NORTH FORT MYERS, Florida|1|12.72842|0.7108790709912577
Austin, TX|34|22.432665882352946|0.410366846542528
Boston, MA|52|23.87667249999999|0.4526403320918923
Bergen, Norway|35|10.609603428571429|0.3548256388097363
Wuppertal, Germany|2|40.816125|0.43604479225118165
Poway, CA|2|18.564500000000002|0.5823463739582727
Brest, France|3|22.01269666666666|0.3576634476901919
Sofia|3|21.235923333333336|0.42284603271650417
BG|1|39.753479999999996|0.441537878476653
Oxford, UK|18|21.737431111111114|0.6591257150934866
Charlottesville, VA|3|23.02296|0.35842358619956016
USA|3|38.8536|0.28568200699082735
Dublin, MS|13|23.808680000000006|0.2715276576714233
Stickney|2|15.644745|0.3513334404884771
Des Moines, Iowa|1|11.98028|0.5985554118943955
Edmonton, Alberta, Canada|1|45.694340000000004|0.443395584873968
Stockholm|7|38.491969999999995|0.22678584982562558
Milwaukee, WI|15|16.123708|0.31366719180678804
jakarta|6|20.070316666666667|0.42701534298355953
CANADA - Ontario|18|18.776393333333328|0.30678388392692535
Smithville, GA|8|17.15406|0.3546029258766705
Connecticut|13|19.035585384615388|0.3571604250117221
Port Arthur, TX|4|19.727359999999997|0.18871648578971917
Rayne, LA|24|19.93991583333333|0.3054541203791781
Miltown Malbay, Ireland|4|19.822615000000006|0.2848243557918731
Neuilly-sous-Clermont (Oise)|7|15.226931428571428|0.2671248673504701
Hughesdale Victoria Australia|5|16.298634|0.3898475265734618
Rome, Italy|2|26.01657999999999|0.44981171165564476
Catania, Italy|1|47.632459999999995|0.3760144930305397
Memphis, Tennessee|1|24.318170000000002|0.5422899334343946
Detroit|1|35.533770000000004|0.39062470750071526
Beaumont, TX|9|20.211672222222223|0.38058853920129815
Havana, Cuba [Jesus Maria]|12|17.332428333333333|0.3600533065389841
Lobdell, LA|1|37.67898|0.3713025465171209
Houston, MS|26|16.480273846153846|0.4270572503991778
Dry Ridge, KY|3|18.358443333333334|0.39579127377388607
Kasai, Zaire|21|22.836447142857146|0.41788534896303836
Campbell, CA|1|21.36694|0.4822988321304963
MOUNT PLEASANT, South Carolina|1|45.74938999999999|0.34875566790227436
Shenandoah, IA|28|25.61244321428571|0.4070193532052605
Isle of Wight, England|6|25.082071666666668|0.4131598587734438
Belfast, Northern Ireland|8|21.8404325|0.43203551716804883
CHICAGO, US|2|22.10518|0.43425005015015267
Brooklyn, NY|55|19.32644327272727|0.4332739379102886
California|44|22.770770681818174|0.33500577042725005
Toronto, Canada|1|25.778740000000006|0.38401812854257616
Long Beach, CA|2|62.78614|0.3020324696639914
SWEDEN|15|20.845028666666668|0.3463694890589084
Glasgow UK-SCOTLAND|2|27.557760000000012|0.41902804640879043
Spanish Harlem, New York City, NY|3|11.621546666666667|0.3499236613236841
Sao Paulo, Brazil|36|21.611106666666668|0.3610178343058003
HOUSTON, Texas|7|21.743987142857144|0.2846889553082228
Braintree, Essex, England|10|25.925165|0.601436482837353
Friars Point, MS|2|21.443910000000002|0.4937110766426872
Quantico, VA|18|19.44977166666666|0.5425020961048547
Galveston, TX|13|20.842941538461535|0.6015265711687587
New York, NY [Manhattan]|6|22.979176666666664|0.37759308177189516
Sevenoaks, United Kingdom|5|67.277954|0.49866887479608674
Marshville, NC|6|17.579016666666664|0.5432255210454612
Jasper, AL|2|27.05657|0.3328671702548936
Bremerton, WA|3|16.907963333333335|0.5376756280636735
London|17|29.785588823529412|0.402696282236986
Gore, VA|1|20.42058999999999|0.4685114664763634
Karlsruhe, Germany|4|33.460697499999995|0.4613458520163567
Atlanta, GA|51|23.190129411764705|0.708890373190151
Nevada|1|15.902379999999997|0.30689117659986637
Long Island, New York|1|15.406499999999994|0.5723739798995029
Oklahoma City, OK|19|17.11382157894737|0.42853004525876376
Lund, Sweden|4|21.413687500000005|0.38865837780232526
BEVERLY HILLS, California|2|35.223215|0.4813690532756141
Hawaii|13|23.18288692307692|0.38098839635478343
Thomson, GA|10|21.214874000000002|0.38534491373305857
Washington|28|17.506987142857145|0.3315868463723432
Dubai UAE|3|27.381563333333332|0.37825468551016656
Sona-Bata, Zaire|4|22.8238975|0.45327023630649965
Buffalo, New York|1|33.04512|0.564855750476682
Florida|39|20.196014615384616|0.29782178340802307
Humboldt, TN|2|18.134315|0.34328188178708335
Forest Hills, Queens, New York City, NY, USA|2|15.666055|0.5103249861005498
Downey, CA|9|21.958706666666668|0.4158248857038078
Fairfax, California|3|23.658783333333332|0.8303567663567651
Needham, MA|1|22.05216|0.3829806029065346
United States|155|22.02081496774194|0.336337348470835
Paddington, London, England|8|27.89803|0.5800131829395042
Tallahassee, FL|3|18.861866666666675|0.34575124701970267
Oxford, England|3|37.94464|0.4412452359741627
Sacramento, CA|62|18.641097419354843|0.49840994414984285
Haynesville, LA|6|21.462231666666668|0.3366459371470681
Washington DC|4|25.452049999999996|0.3455766444332028
Lousiana|2|25.834749999999985|0.38791159898405514
Vance, MS|11|21.939040909090906|0.3328705669374282
Atlanta  Ga|1|12.830359999999985|0.3718367671234585
Woking, Surrey, England|2|16.13284|0.547746274612012
The Bronx, New York, NY|1|26.04838000000001|0.3950738187400653
Zagreb Croatia|1|58.49233|0.43182488836018795
South Carolina|3|25.968316666666663|0.0
Vermillion, SD|5|29.001028|0.44673296759009207
Lynchburg, VA|2|32.355239999999995|0.0
Davis, CA|1|13.120940000000004|0.5187841023656041
HÃ¤meenlinna|5|30.474202000000002|0.4328043103024764
Harrisburg, PA|1|13.983800000000002|0.373282313216811
Pell City, AL|7|20.85941|0.31367575227131844
Medellin, Colombia|3|22.036773333333333|0.5497612254572041
Venezuela|12|14.918903333333333|0.3275553325472706
Uniondale, NY|1|17.07512|0.37880712966431
Queens, NY|7|29.13558714285714|0.5350598246037633
Willowdale, Ontario, Canada|3|21.51030666666667|0.4065178693280275
Severn, MD|13|23.631715384615386|0.555968803751809
key west florida|2|38.48030500000002|0.3873507510715329
Dearborn, MI|4|22.4862225|0.5574083554087859
Copenhagen (Denmark)|6|22.749736666666667|0.4332438337235128
ES|4|45.78512250000001|0.34901349777131224
New York City (Salem, IL - originally)|4|12.689242500000004|0.4040397337752738
Brussels, Belgium|3|13.816096666666667|0.436769069709069
Sikeston, MO|1|6.61536|0.3636756770511417
Navasota, TX|17|20.182884117647056|0.33238987028080336
Le Cannet, France|9|21.837203333333335|0.42335610609447943
Madrid, Spain|2|9.801469999999995|0.45299135767515286
Mali, Africa|24|19.57784375|0.47245177187094
Kingsland, AR|3|12.722656666666667|0.735208877746994
Japan|9|33.51245888888889|0.5121972430113413
Gothenburg, Sweden|4|28.482587499999998|0.41818994657775144
Robin's Hall, Jamaica|2|15.581985000000003|0.4245078859561901
Dundee, Scotland|9|23.84159222222222|0.6672945956434689
Chuckatuck, VA|7|35.66802571428571|0.3105560831795258
Cambridgeshire, England|2|24.178255000000004|0.541656322286496
Boston|1|20.328029999999984|0.3121692415603705
Indianapolis, IN|1|17.60274|0.48607237966592026
Sledge, MS|1|11.377099999999999|0.3893417519104193
Dallas, TX|22|22.984689090909093|0.4885251938392337
Arles, France|2|23.046490000000006|0.5406306862249688
Sacremento, CA|2|17.297910000000005|0.2554103094339133
Pasadena, CA|3|39.36028666666667|0.5799889824287546
Malmï¿½, Belgium|37|21.083206216216222|0.2575154034743784
